STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN
USC00190666,"BIRCH HILL DAM, MA US",2/1/15,0,0,17,-7
USC00190666,"BIRCH HILL DAM, MA US",2/2/15,0.33,3.1,27,-7
USC00190666,"BIRCH HILL DAM, MA US",2/3/15,0.48,5,12,-1
USC00190666,"BIRCH HILL DAM, MA US",2/4/15,0,0,20,-8
USC00190666,"BIRCH HILL DAM, MA US",2/5/15,0.14,4.5,32,-1
USC00190666,"BIRCH HILL DAM, MA US",2/6/15,0.19,1.5,29,-12
USC00190666,"BIRCH HILL DAM, MA US",2/7/15,0,0,19,-10
USC00190666,"BIRCH HILL DAM, MA US",2/8/15,0.1,0.8,26,15
USC00190666,"BIRCH HILL DAM, MA US",2/9/15,0.45,3.7,23,10
USC00190666,"BIRCH HILL DAM, MA US",2/10/15,0.26,2.5,18,11
USC00190666,"BIRCH HILL DAM, MA US",2/11/15,0,0,32,-2
USC00190666,"BIRCH HILL DAM, MA US",2/12/15,0,0,25,-2
USC00190666,"BIRCH HILL DAM, MA US",2/13/15,0.06,1,27,-1
USC00190666,"BIRCH HILL DAM, MA US",2/14/15,0,0,13,-8
USC00190666,"BIRCH HILL DAM, MA US",2/15/15,0.72,6.2,20,-8
USC00190666,"BIRCH HILL DAM, MA US",2/16/15,0.38,3.3,13,-9
USC00190666,"BIRCH HILL DAM, MA US",2/17/15,0,0,14,-6
USC00190666,"BIRCH HILL DAM, MA US",2/18/15,0,0,25,-13
USC00190666,"BIRCH HILL DAM, MA US",2/19/15,0.02,0.9,33,-13
USC00190666,"BIRCH HILL DAM, MA US",2/20/15,0.05,0.2,22,-2
USC00190666,"BIRCH HILL DAM, MA US",2/21/15,0,0,15,-16
USC00190666,"BIRCH HILL DAM, MA US",2/22/15,0.44,3.2,28,-16
USC00190666,"BIRCH HILL DAM, MA US",2/23/15,0,0,37,15
USC00190666,"BIRCH HILL DAM, MA US",2/24/15,0,0,19,-20
USC00190666,"BIRCH HILL DAM, MA US",2/25/15,0.01,0,19,-19
